epoch,train_loss,val_loss,rmse,mae,score,lr
1,913.1049346923828,297.8730068206787,21.762276,18.59624,812.6219,0.001
2,811.5599517822266,293.83715438842773,21.625994,18.451693,798.4265,0.001
3,918.0589752197266,277.1109733581543,21.03473,17.846909,738.3691,0.001
4,674.3000183105469,242.0049867630005,19.792265,16.50924,626.3203,0.001
5,759.3455963134766,209.11100339889526,18.512007,15.181186,526.6758,0.001
6,598.9952163696289,182.85247945785522,17.32022,14.080284,444.32178,0.001
7,712.6024627685547,161.04453706741333,16.164572,13.079687,373.3993,0.001
8,563.3586044311523,143.53615283966064,15.039438,12.176092,311.94907,0.001
9,383.9388885498047,130.9490566253662,13.970434,11.382384,259.4611,0.001
10,405.0474166870117,124.06287574768066,12.999615,10.71291,215.69913,0.001
11,331.0244598388672,123.72568893432617,12.194975,10.198337,180.97264,0.001
12,337.24554443359375,130.36536026000977,11.629929,9.862296,155.40108,0.001
13,274.5405502319336,144.6679344177246,11.3446245,9.710228,137.7687,0.001
14,302.07470703125,167.15898895263672,11.393744,9.76189,128.17831,0.001
15,279.73798751831055,196.70146942138672,11.770049,10.01429,126.45415,0.001
16,291.41770935058594,232.25013732910156,12.411145,10.445503,131.53912,0.001
17,202.06344985961914,264.9264831542969,13.077826,10.909651,140.01442,0.0005
18,221.73238372802734,274.4337921142578,13.278668,11.054298,142.96928,0.0005
19,214.3851318359375,278.72936248779297,13.370052,11.118159,144.34752,0.0005
20,227.3000831604004,277.55077362060547,13.344947,11.100727,143.96667,0.0005
21,237.03710174560547,273.23860931396484,13.253313,11.036373,142.59024,0.0005
22,292.4425048828125,268.17960357666016,13.146311,10.959683,141.00983,0.0005
23,207.45766258239746,263.43257904052734,13.046476,10.8864975,139.56215,0.00025
24,249.9402847290039,261.1480293273926,12.998651,10.850835,138.87804,0.00025
25,279.99728775024414,257.96253967285156,12.932228,10.802681,137.95226,0.00025
26,188.96078300476074,256.00972747802734,12.89167,10.776037,137.41441,0.00025
